"date_onset","detection_probability","state","count"
2020-01-13,1,"ACT",0
2020-01-13,1,"NSW",0
2020-01-13,1,"NT",0
2020-01-13,1,"QLD",0
2020-01-13,1,"SA",0
2020-01-13,1,"TAS",0
2020-01-13,1,"VIC",0
2020-01-13,1,"WA",0
2020-01-14,1,"ACT",0
2020-01-14,1,"NSW",0
2020-01-14,1,"NT",0
2020-01-14,1,"QLD",0
2020-01-14,1,"SA",0
2020-01-14,1,"TAS",0
2020-01-14,1,"VIC",0
2020-01-14,1,"WA",0
2020-01-15,1,"ACT",0
2020-01-15,1,"NSW",0
2020-01-15,1,"NT",0
2020-01-15,1,"QLD",0
2020-01-15,1,"SA",0
2020-01-15,1,"TAS",0
2020-01-15,1,"VIC",0
2020-01-15,1,"WA",0
2020-01-16,1,"ACT",0
2020-01-16,1,"NSW",0
2020-01-16,1,"NT",0
2020-01-16,1,"QLD",0
2020-01-16,1,"SA",0
2020-01-16,1,"TAS",0
2020-01-16,1,"VIC",0
2020-01-16,1,"WA",0
2020-01-17,1,"ACT",0
2020-01-17,1,"NSW",0
2020-01-17,1,"NT",0
2020-01-17,1,"QLD",0
2020-01-17,1,"SA",0
2020-01-17,1,"TAS",0
2020-01-17,1,"VIC",0
2020-01-17,1,"WA",0
2020-01-18,1,"ACT",0
2020-01-18,1,"NSW",0
2020-01-18,1,"NT",0
2020-01-18,1,"QLD",0
2020-01-18,1,"SA",0
2020-01-18,1,"TAS",0
2020-01-18,1,"VIC",0
2020-01-18,1,"WA",0
2020-01-19,1,"ACT",0
2020-01-19,1,"NSW",0
2020-01-19,1,"NT",0
2020-01-19,1,"QLD",0
2020-01-19,1,"SA",0
2020-01-19,1,"TAS",0
2020-01-19,1,"VIC",0
2020-01-19,1,"WA",0
2020-01-20,1,"ACT",0
2020-01-20,1,"NSW",0
2020-01-20,1,"NT",0
2020-01-20,1,"QLD",0
2020-01-20,1,"SA",0
2020-01-20,1,"TAS",0
2020-01-20,1,"VIC",0
2020-01-20,1,"WA",0
2020-01-21,1,"ACT",0
2020-01-21,1,"NSW",0
2020-01-21,1,"NT",0
2020-01-21,1,"QLD",0
2020-01-21,1,"SA",0
2020-01-21,1,"TAS",0
2020-01-21,1,"VIC",0
2020-01-21,1,"WA",0
2020-01-22,1,"ACT",0
2020-01-22,1,"NSW",0
2020-01-22,1,"NT",0
2020-01-22,1,"QLD",0
2020-01-22,1,"SA",0
2020-01-22,1,"TAS",0
2020-01-22,1,"VIC",0
2020-01-22,1,"WA",0
2020-01-23,1,"ACT",0
2020-01-23,1,"NSW",0
2020-01-23,1,"NT",0
2020-01-23,1,"QLD",0
2020-01-23,1,"SA",0
2020-01-23,1,"TAS",0
2020-01-23,1,"VIC",0
2020-01-23,1,"WA",0
2020-01-24,1,"ACT",0
2020-01-24,1,"NSW",0
2020-01-24,1,"NT",0
2020-01-24,1,"QLD",0
2020-01-24,1,"SA",0
2020-01-24,1,"TAS",0
2020-01-24,1,"VIC",0
2020-01-24,1,"WA",0
2020-01-25,1,"ACT",0
2020-01-25,1,"NSW",0
2020-01-25,1,"NT",0
2020-01-25,1,"QLD",0
2020-01-25,1,"SA",0
2020-01-25,1,"TAS",0
2020-01-25,1,"VIC",0
2020-01-25,1,"WA",0
2020-01-26,1,"ACT",0
2020-01-26,1,"NSW",0
2020-01-26,1,"NT",0
2020-01-26,1,"QLD",0
2020-01-26,1,"SA",0
2020-01-26,1,"TAS",0
2020-01-26,1,"VIC",0
2020-01-26,1,"WA",0
2020-01-27,1,"ACT",0
2020-01-27,1,"NSW",0
2020-01-27,1,"NT",0
2020-01-27,1,"QLD",0
2020-01-27,1,"SA",0
2020-01-27,1,"TAS",0
2020-01-27,1,"VIC",0
2020-01-27,1,"WA",0
2020-01-28,1,"ACT",0
2020-01-28,1,"NSW",0
2020-01-28,1,"NT",0
2020-01-28,1,"QLD",0
2020-01-28,1,"SA",0
2020-01-28,1,"TAS",0
2020-01-28,1,"VIC",0
2020-01-28,1,"WA",0
2020-01-29,1,"ACT",0
2020-01-29,1,"NSW",0
2020-01-29,1,"NT",0
2020-01-29,1,"QLD",0
2020-01-29,1,"SA",0
2020-01-29,1,"TAS",0
2020-01-29,1,"VIC",1
2020-01-29,1,"WA",0
2020-01-30,1,"ACT",0
2020-01-30,1,"NSW",0
2020-01-30,1,"NT",0
2020-01-30,1,"QLD",0
2020-01-30,1,"SA",0
2020-01-30,1,"TAS",0
2020-01-30,1,"VIC",0
2020-01-30,1,"WA",0
2020-01-31,1,"ACT",0
2020-01-31,1,"NSW",0
2020-01-31,1,"NT",0
2020-01-31,1,"QLD",0
2020-01-31,1,"SA",0
2020-01-31,1,"TAS",0
2020-01-31,1,"VIC",0
2020-01-31,1,"WA",0
2020-02-01,1,"ACT",0
2020-02-01,1,"NSW",1
2020-02-01,1,"NT",0
2020-02-01,1,"QLD",0
2020-02-01,1,"SA",0
2020-02-01,1,"TAS",0
2020-02-01,1,"VIC",0
2020-02-01,1,"WA",0
2020-02-02,1,"ACT",0
2020-02-02,1,"NSW",0
2020-02-02,1,"NT",0
2020-02-02,1,"QLD",0
2020-02-02,1,"SA",0
2020-02-02,1,"TAS",0
2020-02-02,1,"VIC",0
2020-02-02,1,"WA",0
2020-02-03,1,"ACT",0
2020-02-03,1,"NSW",0
2020-02-03,1,"NT",0
2020-02-03,1,"QLD",1
2020-02-03,1,"SA",0
2020-02-03,1,"TAS",0
2020-02-03,1,"VIC",0
2020-02-03,1,"WA",0
2020-02-04,1,"ACT",0
2020-02-04,1,"NSW",0
2020-02-04,1,"NT",0
2020-02-04,1,"QLD",2
2020-02-04,1,"SA",0
2020-02-04,1,"TAS",0
2020-02-04,1,"VIC",0
2020-02-04,1,"WA",0
2020-02-05,1,"ACT",0
2020-02-05,1,"NSW",0
2020-02-05,1,"NT",0
2020-02-05,1,"QLD",0
2020-02-05,1,"SA",0
2020-02-05,1,"TAS",0
2020-02-05,1,"VIC",0
2020-02-05,1,"WA",0
2020-02-06,1,"ACT",0
2020-02-06,1,"NSW",0
2020-02-06,1,"NT",0
2020-02-06,1,"QLD",0
2020-02-06,1,"SA",0
2020-02-06,1,"TAS",0
2020-02-06,1,"VIC",0
2020-02-06,1,"WA",0
2020-02-07,1,"ACT",0
2020-02-07,1,"NSW",0
2020-02-07,1,"NT",0
2020-02-07,1,"QLD",0
2020-02-07,1,"SA",0
2020-02-07,1,"TAS",0
2020-02-07,1,"VIC",0
2020-02-07,1,"WA",0
2020-02-08,1,"ACT",0
2020-02-08,1,"NSW",1
2020-02-08,1,"NT",0
2020-02-08,1,"QLD",0
2020-02-08,1,"SA",0
2020-02-08,1,"TAS",0
2020-02-08,1,"VIC",0
2020-02-08,1,"WA",0
2020-02-09,1,"ACT",0
2020-02-09,1,"NSW",0
2020-02-09,1,"NT",0
2020-02-09,1,"QLD",0
2020-02-09,1,"SA",0
2020-02-09,1,"TAS",0
2020-02-09,1,"VIC",0
2020-02-09,1,"WA",0
2020-02-10,1,"ACT",0
2020-02-10,1,"NSW",0
2020-02-10,1,"NT",0
2020-02-10,1,"QLD",0
2020-02-10,1,"SA",0
2020-02-10,1,"TAS",0
2020-02-10,1,"VIC",0
2020-02-10,1,"WA",0
2020-02-11,1,"ACT",0
2020-02-11,1,"NSW",0
2020-02-11,1,"NT",0
2020-02-11,1,"QLD",0
2020-02-11,1,"SA",0
2020-02-11,1,"TAS",0
2020-02-11,1,"VIC",0
2020-02-11,1,"WA",0
2020-02-12,1,"ACT",0
2020-02-12,1,"NSW",0
2020-02-12,1,"NT",0
2020-02-12,1,"QLD",0
2020-02-12,1,"SA",0
2020-02-12,1,"TAS",0
2020-02-12,1,"VIC",0
2020-02-12,1,"WA",0
2020-02-13,1,"ACT",0
2020-02-13,1,"NSW",1
2020-02-13,1,"NT",0
2020-02-13,1,"QLD",0
2020-02-13,1,"SA",0
2020-02-13,1,"TAS",0
2020-02-13,1,"VIC",0
2020-02-13,1,"WA",0
2020-02-14,1,"ACT",0
2020-02-14,1,"NSW",0
2020-02-14,1,"NT",0
2020-02-14,1,"QLD",0
2020-02-14,1,"SA",0
2020-02-14,1,"TAS",0
2020-02-14,1,"VIC",0
2020-02-14,1,"WA",0
2020-02-15,1,"ACT",0
2020-02-15,1,"NSW",1
2020-02-15,1,"NT",0
2020-02-15,1,"QLD",0
2020-02-15,1,"SA",0
2020-02-15,1,"TAS",0
2020-02-15,1,"VIC",0
2020-02-15,1,"WA",0
2020-02-16,1,"ACT",0
2020-02-16,1,"NSW",2
2020-02-16,1,"NT",0
2020-02-16,1,"QLD",0
2020-02-16,1,"SA",0
2020-02-16,1,"TAS",0
2020-02-16,1,"VIC",0
2020-02-16,1,"WA",0
2020-02-17,1,"ACT",0
2020-02-17,1,"NSW",1
2020-02-17,1,"NT",0
2020-02-17,1,"QLD",0
2020-02-17,1,"SA",0
2020-02-17,1,"TAS",0
2020-02-17,1,"VIC",0
2020-02-17,1,"WA",0
2020-02-18,1,"ACT",0
2020-02-18,1,"NSW",1
2020-02-18,1,"NT",0
2020-02-18,1,"QLD",0
2020-02-18,1,"SA",0
2020-02-18,1,"TAS",0
2020-02-18,1,"VIC",0
2020-02-18,1,"WA",0
2020-02-19,1,"ACT",0
2020-02-19,1,"NSW",0
2020-02-19,1,"NT",0
2020-02-19,1,"QLD",0
2020-02-19,1,"SA",0
2020-02-19,1,"TAS",0
2020-02-19,1,"VIC",0
2020-02-19,1,"WA",0
2020-02-20,1,"ACT",0
2020-02-20,1,"NSW",1
2020-02-20,1,"NT",0
2020-02-20,1,"QLD",0
2020-02-20,1,"SA",0
2020-02-20,1,"TAS",0
2020-02-20,1,"VIC",0
2020-02-20,1,"WA",0
2020-02-21,1,"ACT",0
2020-02-21,1,"NSW",0
2020-02-21,1,"NT",0
2020-02-21,1,"QLD",0
2020-02-21,1,"SA",0
2020-02-21,1,"TAS",0
2020-02-21,1,"VIC",0
2020-02-21,1,"WA",0
2020-02-22,1,"ACT",0
2020-02-22,1,"NSW",0
2020-02-22,1,"NT",0
2020-02-22,1,"QLD",0
2020-02-22,1,"SA",0
2020-02-22,1,"TAS",0
2020-02-22,1,"VIC",0
2020-02-22,1,"WA",0
2020-02-23,1,"ACT",0
2020-02-23,1,"NSW",0
2020-02-23,1,"NT",0
2020-02-23,1,"QLD",0
2020-02-23,1,"SA",0
2020-02-23,1,"TAS",0
2020-02-23,1,"VIC",0
2020-02-23,1,"WA",0
2020-02-24,1,"ACT",0
2020-02-24,1,"NSW",3
2020-02-24,1,"NT",0
2020-02-24,1,"QLD",0
2020-02-24,1,"SA",0
2020-02-24,1,"TAS",0
2020-02-24,1,"VIC",0
2020-02-24,1,"WA",0
2020-02-25,1,"ACT",0
2020-02-25,1,"NSW",0
2020-02-25,1,"NT",0
2020-02-25,1,"QLD",0
2020-02-25,1,"SA",0
2020-02-25,1,"TAS",0
2020-02-25,1,"VIC",0
2020-02-25,1,"WA",0
2020-02-26,1,"ACT",0
2020-02-26,1,"NSW",2
2020-02-26,1,"NT",0
2020-02-26,1,"QLD",0
2020-02-26,1,"SA",0
2020-02-26,1,"TAS",0
2020-02-26,1,"VIC",1
2020-02-26,1,"WA",0
2020-02-27,1,"ACT",0
2020-02-27,1,"NSW",1
2020-02-27,1,"NT",0
2020-02-27,1,"QLD",0
2020-02-27,1,"SA",0
2020-02-27,1,"TAS",0
2020-02-27,1,"VIC",0
2020-02-27,1,"WA",0
2020-02-28,1,"ACT",0
2020-02-28,1,"NSW",1
2020-02-28,1,"NT",0
2020-02-28,1,"QLD",0
2020-02-28,1,"SA",0
2020-02-28,1,"TAS",0
2020-02-28,1,"VIC",0
2020-02-28,1,"WA",0
2020-02-29,1,"ACT",0
2020-02-29,1,"NSW",4
2020-02-29,1,"NT",0
2020-02-29,1,"QLD",0
2020-02-29,1,"SA",0
2020-02-29,1,"TAS",0
2020-02-29,1,"VIC",1
2020-02-29,1,"WA",0
2020-03-01,1,"ACT",0
2020-03-01,1,"NSW",3
2020-03-01,1,"NT",0
2020-03-01,1,"QLD",0
2020-03-01,1,"SA",0
2020-03-01,1,"TAS",0
2020-03-01,1,"VIC",0
2020-03-01,1,"WA",0
2020-03-02,1,"ACT",0
2020-03-02,1,"NSW",5
2020-03-02,1,"NT",0
2020-03-02,1,"QLD",1
2020-03-02,1,"SA",0
2020-03-02,1,"TAS",0
2020-03-02,1,"VIC",0
2020-03-02,1,"WA",1
2020-03-03,1,"ACT",0
2020-03-03,1,"NSW",3
2020-03-03,1,"NT",0
2020-03-03,1,"QLD",0
2020-03-03,1,"SA",0
2020-03-03,1,"TAS",0
2020-03-03,1,"VIC",3
2020-03-03,1,"WA",0
2020-03-04,1,"ACT",0
2020-03-04,1,"NSW",7
2020-03-04,1,"NT",0
2020-03-04,1,"QLD",1
2020-03-04,1,"SA",0
2020-03-04,1,"TAS",0
2020-03-04,1,"VIC",0
2020-03-04,1,"WA",1
2020-03-05,1,"ACT",0
2020-03-05,1,"NSW",9
2020-03-05,1,"NT",0
2020-03-05,1,"QLD",0
2020-03-05,1,"SA",1
2020-03-05,1,"TAS",0
2020-03-05,1,"VIC",0
2020-03-05,1,"WA",0
2020-03-06,1,"ACT",0
2020-03-06,1,"NSW",7
2020-03-06,1,"NT",0
2020-03-06,1,"QLD",1
2020-03-06,1,"SA",0
2020-03-06,1,"TAS",0
2020-03-06,1,"VIC",0
2020-03-06,1,"WA",1
2020-03-07,1,"ACT",0
2020-03-07,1,"NSW",8
2020-03-07,1,"NT",0
2020-03-07,1,"QLD",2
2020-03-07,1,"SA",0
2020-03-07,1,"TAS",0
2020-03-07,1,"VIC",1
2020-03-07,1,"WA",0
2020-03-08,1,"ACT",0
2020-03-08,1,"NSW",11
2020-03-08,1,"NT",0
2020-03-08,1,"QLD",1
2020-03-08,1,"SA",1
2020-03-08,1,"TAS",0
2020-03-08,1,"VIC",0
2020-03-08,1,"WA",0
2020-03-09,1,"ACT",0
2020-03-09,1,"NSW",24
2020-03-09,1,"NT",0
2020-03-09,1,"QLD",3
2020-03-09,1,"SA",0
2020-03-09,1,"TAS",0
2020-03-09,1,"VIC",7
2020-03-09,1,"WA",0
2020-03-10,1,"ACT",2
2020-03-10,1,"NSW",26
2020-03-10,1,"NT",0
2020-03-10,1,"QLD",1
2020-03-10,1,"SA",1
2020-03-10,1,"TAS",0
2020-03-10,1,"VIC",9
2020-03-10,1,"WA",0
2020-03-11,1,"ACT",0
2020-03-11,1,"NSW",16
2020-03-11,1,"NT",0
2020-03-11,1,"QLD",4
2020-03-11,1,"SA",0
2020-03-11,1,"TAS",0
2020-03-11,1,"VIC",7
2020-03-11,1,"WA",0
2020-03-12,1,"ACT",1
2020-03-12,1,"NSW",16
2020-03-12,1,"NT",0
2020-03-12,1,"QLD",11
2020-03-12,1,"SA",0
2020-03-12,1,"TAS",0
2020-03-12,1,"VIC",10
2020-03-12,1,"WA",0
2020-03-13,1,"ACT",0
2020-03-13,1,"NSW",26
2020-03-13,1,"NT",0
2020-03-13,1,"QLD",6
2020-03-13,1,"SA",1
2020-03-13,1,"TAS",0
2020-03-13,1,"VIC",7
2020-03-13,1,"WA",0
2020-03-14,1,"ACT",0
2020-03-14,1,"NSW",25
2020-03-14,1,"NT",0
2020-03-14,1,"QLD",6
2020-03-14,1,"SA",5
2020-03-14,1,"TAS",0
2020-03-14,1,"VIC",6
2020-03-14,1,"WA",0
2020-03-15,1,"ACT",0
2020-03-15,1,"NSW",18
2020-03-15,1,"NT",0
2020-03-15,1,"QLD",9
2020-03-15,1,"SA",1
2020-03-15,1,"TAS",0
2020-03-15,1,"VIC",15
2020-03-15,1,"WA",1
2020-03-16,1,"ACT",0
2020-03-16,1,"NSW",48
2020-03-16,1,"NT",0
2020-03-16,1,"QLD",10
2020-03-16,1,"SA",8
2020-03-16,1,"TAS",0
2020-03-16,1,"VIC",17
2020-03-16,1,"WA",1
2020-03-17,1,"ACT",1
2020-03-17,1,"NSW",56
2020-03-17,1,"NT",0
2020-03-17,1,"QLD",16
2020-03-17,1,"SA",10
2020-03-17,1,"TAS",1
2020-03-17,1,"VIC",21
2020-03-17,1,"WA",1
2020-03-18,1,"ACT",1
2020-03-18,1,"NSW",52
2020-03-18,1,"NT",0
2020-03-18,1,"QLD",12
2020-03-18,1,"SA",9
2020-03-18,1,"TAS",1
2020-03-18,1,"VIC",26
2020-03-18,1,"WA",6
2020-03-19,1,"ACT",1
2020-03-19,1,"NSW",54
2020-03-19,1,"NT",0
2020-03-19,1,"QLD",7
2020-03-19,1,"SA",11
2020-03-19,1,"TAS",0
2020-03-19,1,"VIC",26
2020-03-19,1,"WA",2
2020-03-20,1,"ACT",1
2020-03-20,1,"NSW",54
2020-03-20,1,"NT",0
2020-03-20,1,"QLD",12
2020-03-20,1,"SA",6
2020-03-20,1,"TAS",0
2020-03-20,1,"VIC",23
2020-03-20,1,"WA",6
2020-03-21,1,"ACT",4
2020-03-21,1,"NSW",59
2020-03-21,1,"NT",0
2020-03-21,1,"QLD",9
2020-03-21,1,"SA",4
2020-03-21,1,"TAS",2
2020-03-21,1,"VIC",48
2020-03-21,1,"WA",5
2020-03-22,1,"ACT",0
2020-03-22,1,"NSW",44
2020-03-22,1,"NT",0
2020-03-22,1,"QLD",15
2020-03-22,1,"SA",3
2020-03-22,1,"TAS",0
2020-03-22,1,"VIC",28
2020-03-22,1,"WA",5
2020-03-23,1,"ACT",2
2020-03-23,1,"NSW",67
2020-03-23,1,"NT",0
2020-03-23,1,"QLD",19
2020-03-23,1,"SA",7
2020-03-23,1,"TAS",0
2020-03-23,1,"VIC",25
2020-03-23,1,"WA",9
2020-03-24,1,"ACT",0
2020-03-24,1,"NSW",71
2020-03-24,1,"NT",0
2020-03-24,1,"QLD",10
2020-03-24,1,"SA",9
2020-03-24,1,"TAS",1
2020-03-24,1,"VIC",30
2020-03-24,1,"WA",3
2020-03-25,1,"ACT",1
2020-03-25,1,"NSW",56
2020-03-25,1,"NT",0
2020-03-25,1,"QLD",10
2020-03-25,1,"SA",7
2020-03-25,1,"TAS",1
2020-03-25,1,"VIC",28
2020-03-25,1,"WA",6
2020-03-26,1,"ACT",2
2020-03-26,1,"NSW",45
2020-03-26,1,"NT",0
2020-03-26,1,"QLD",4
2020-03-26,1,"SA",6
2020-03-26,1,"TAS",1
2020-03-26,1,"VIC",24
2020-03-26,1,"WA",5
2020-03-27,1,"ACT",0
2020-03-27,1,"NSW",40
2020-03-27,1,"NT",0
2020-03-27,1,"QLD",10
2020-03-27,1,"SA",6
2020-03-27,1,"TAS",1
2020-03-27,1,"VIC",29
2020-03-27,1,"WA",4
2020-03-28,1,"ACT",0
2020-03-28,1,"NSW",50
2020-03-28,1,"NT",0
2020-03-28,1,"QLD",10
2020-03-28,1,"SA",6
2020-03-28,1,"TAS",0
2020-03-28,1,"VIC",32
2020-03-28,1,"WA",3
2020-03-29,1,"ACT",0
2020-03-29,1,"NSW",55
2020-03-29,1,"NT",1
2020-03-29,1,"QLD",5
2020-03-29,1,"SA",8
2020-03-29,1,"TAS",0
2020-03-29,1,"VIC",17
2020-03-29,1,"WA",3
2020-03-30,1,"ACT",1
2020-03-30,1,"NSW",37
2020-03-30,1,"NT",0
2020-03-30,1,"QLD",5
2020-03-30,1,"SA",9
2020-03-30,1,"TAS",1
2020-03-30,1,"VIC",22
2020-03-30,1,"WA",2
2020-03-31,1,"ACT",0
2020-03-31,1,"NSW",15
2020-03-31,1,"NT",0
2020-03-31,1,"QLD",5
2020-03-31,1,"SA",5
2020-03-31,1,"TAS",0
2020-03-31,1,"VIC",18
2020-03-31,1,"WA",2
2020-04-01,1,"ACT",2
2020-04-01,1,"NSW",24
2020-04-01,1,"NT",1
2020-04-01,1,"QLD",3
2020-04-01,1,"SA",3
